message,intent
"fyi, it would be helpful to have a guest access mode",feature_request
please help — can you confirm if my accoutn still exists? asap!,account_access
just a note — i've never had this good an experience with any saas product asap!,positive
"hi, i need to close my account :(",account_access
"fyi, data isn't syncing in real time anymore help!",technical_issue
"hey, the button does nothing when i click it !!",technical_issue
urgent: i was charged the wrong amount asap!,billing_issue
issue: how do i add another email to my account? !!,account_access
"hello, please add a way to archive old messages!",feature_request
urgent: the verification code never arrives asap!,account_access
issue: i'm genuinely delighted with the product !!,positive
issue: the reports don't always match expectations!,complaint_normal
i changed my password but it's not working :(,account_access
issue: my account email was changed by someone else thanks.,account_access
question: i reset my password but still can't log in,account_access
"hey, this is the most frustrating experience of my life :(",complaint_angry
the password reset link expired before i used it,account_access
"hey, it would be great if you could add offline suppotr!",feature_request
update: please add a dark theme for the mobile app too,feature_request
urgent: please help me regain access to my account !!,account_access
qusetion: your app is the best investment i've made all year.,positive
please help — couldn't be more satisfied — carry on the great work!.,positive
"hey, your cmopany is a disgrace — i'll be leaving a review!",complaint_angry
urgent: i expected more from the premium plan help!,complaint_normal
question: how od i delete my account? please.,account_access
issue: been a customer for 3 years — still love every bit of it.,positive
"hey, this is absolutely ridiculous! i've been waiting weeks! asap!",complaint_angry
urgent: the interface is a bit confusing to navigate :(,complaint_normal
update: could you add integration with google drive? ugh.,feature_request
update: you make everything so simple — thank you! please.,positive
issue: the dark mode toggle broke the layout!,technical_issue
"hi, there are too many unnecessary notifications!",complaint_normal
"fyi, the live chat widget doesn't open",technical_issue
"hi, i am furiosu and i want this escalated immediately!",complaint_angry
"fyi, please add a custom notification sound option please.",feature_request
"fyi, feature is broken and not working asap!",technical_issue
issue: it would be great to have a tablet-optimised view !!,feature_request
"hi, exporting data takes too long :(",complaint_normal
"hi, i want to know why i was charged a cancellation fee!",billing_issue
"hello, the app is clean, fast, and just works perfectly",positive
urgent: i'm locked out of my account.,account_access
question: i can't log in from a new device thanks.,account_access
just a note — my saved preferences have been reset!,account_access
please help — the free plan is too limited for practical use,complaint_normal
"hi, can you integrate with slack? :(",feature_request
just a note — i am furious and i want this escalated immediately,complaint_angry
issue: your sysetm charged me multiple times thanks.,billing_issue
"fyi, i feel the product has declined recently",complaint_normal
"hey, i'd love a feature to schedule messages.",feature_request
please help — the email notifications are too frequent thanks.,complaint_normal
"hello, i need to recover my username.",account_access
just a note — i paid already but it shows as unpaid,billing_issue
please help — i dispute this charge completely,billing_issue
"fyi, i didn't receive the password reset email ugh.",account_access
issue: i need to reset my password help!,account_access
update: the product keeps gettign better every update please.,positive
issue: i don't like the new design at all thanks.,complaint_normal
"fyi, you've restored my faith in good customer service!.",positive
"hi, the password reset link expired before i used it help!",account_access
the toolbar disappeared after theu pdate ugh.,technical_issue
update: i was charged the wrong amount please.,billing_issue
just a note — i'm getting an invalid credentials error!,account_access
just a note — i want to speak to a manager RIGHT NOW :(,complaint_angry
please add quick reply options for common responses :(,feature_request
this is the most frustrating experience of my life.,complaint_angry
question: you clearly don't care about your customers AT ALL,complaint_angry
"hey, i got charged for a plan i never signed up for asap!",billing_issue
"hi, can you add auto-save more frequently? ugh.",feature_request
"hello, i reset my password but sitll can't log in !!",account_access
"hello, the mobile app feels less polished than the website please.",complaint_normal
update: the graph on the reports page won't load!,technical_issue
update: something went wrong error appears constantly please.,technical_issue
update: got a blank white screen after login!,technical_issue
"please help — the app is clean, fast, and just works perfectly asap!",positive
"hey, the app freezes after a few seconds!",technical_issue
please help — i never thought i'd love a productivity app this much,positive
please help — the amount on my bill doesn't match what was quoted asap!,billing_issue
urgent: i'm being asked for a backup code i don't have help!,account_access
"hello, i love how responsive the team is to user suggestions!",positive
"hello, my settings aren't saving ugh.",technical_issue
"hi, i'm furious — your service is terrible! :(",complaint_angry
"fyi, i'd love real-time collaboration features asap!",feature_request
just a note — i need to recover my username !!,account_access
"hi, i set up a new phone and can't log in!",account_access
can you confirm if my account still exists? help!,account_access
urgent: the app could use some polish in the settings page !!,complaint_normal
issue: it would be great if you could add offlnie support thanks.,feature_request
issue: can't access my account at all ugh.,account_access
"fyi, i reset my password but still can't log in ugh.",account_access
issue: the chat feature is a bit basic compared to copmetitors.,complaint_normal
please help — your system charged me multiple times :(,billing_issue
urgent: please add right-to-left (rtl) language support!,feature_request
the export feature isn't generating the file!,technical_issue
just a note — i need to dispute a charge from last month.,billing_issue
just a note — you saved me so much time — thank you so much! :(,positive
"hi, i cancelled my plan but still got charged please.",billing_issue
urgent: i didn't receive the password reset email!,account_access
question: i need to dispute a charge from last month help!,billing_issue
issue: can you add a print option to reports? !!,feature_request
questio:n the user experience feels clunky :(,complaint_normal
update: i was charged twice for the same order thanks.,billing_issue
urgent: how do i log in without my old phone? thanks.,account_access
issue: it would be great to have a pomodoro timer built in help!,feature_request
update: i've never been so angry at a company before please.,complaint_angry
issue: could you add a shared calendar feature? thanks.,feature_request
"hey, website isn't working for me!",technical_issue
question: i can't log in after the recent update !!,account_access
"fyi, i'd love to see a widget for the home screen thanks.",feature_request
"hi, i'm a customer for life now — you've won me over help!",positive
just a note — the discount wasn't applied to my invoice !!,billing_issue
update: your company is a disgrace — i'll be leaving a review!,complaint_angry
"question: top-notch everything — service, product, and support asap!",positive
"ehy, i can't remember my login email !!",account_access
please help — i think my account was hacked !!,account_access
this is outrageous — i'm done with your service!!! please.,complaint_angry
"hi, i dispute this charge completely.",billing_issue
just a note — my settingsa ren't saving,technical_issue
question: i'm being charged for something i cancelled.,billing_issue
just a note — my profile data is missing after login.,account_access
"hello, i cancelled my plan but still got charged please.",billing_issue
"hi, the toolbar disappeared after the update asap!",technical_issue
"hello, i should have gotten a lower rate help!",billing_issue
"fyi, the magic link email never arrived!",account_access
update: your company has made my life miserable for the past week !!,complaint_angry
just a note — please reactivate my account ugh.,account_access
please help — this experience ahs been absolutely horrific !!,complaint_angry
"hello, the app freezes after a few seconds!",technical_issue
urgent: i found a bug on the checkout page asap!,technical_issue
urgent: it would be helpful to have a guest access mode asap!,feature_request
"hello, this is outrageous — i'm done with your service!!!.",complaint_angry
issue: i'd like to see better keyboard shortcuts help!,complaint_normal
it would be really helpful to have keyboard shortcuts,feature_request
just a note — my account seems to have been suspended please.,account_access
"fyi, it would be great to have a pomodoro timer built in !!",feature_request
question: the android version has a bug with dark mode,technical_issue
issue: some features feel half-finished :(,complaint_normal
"hello, please add quick reply options for common responses",feature_request
rugent: HOW IS THIS STILL NOT FIXED?! IT'S BEEN DAYS!!! :(,complaint_angry
issue: the onboarding experience was confusing !!,complaint_normal
the sync sin't working between my devices,technical_issue
"i want a full refund, not a credit help!",billing_issue
update: i'm sick and tired of this nonsense!!!.,complaint_angry
question: this is the LAST time i contact your sueless support.,complaint_angry
issue: something went wrong error appears constantly please.,technical_issue
"hey, my free trial ended but you charged me without warning",billing_issue
"fyi, the app is clean, fast, and just works perfectly ugh.",positive
the video player won't load ugh.,technical_issue
update: i'm going to dispute this charge with my bank.,complaint_angry
please help — i am reporting you to consumer protection authorities help!,complaint_angry
just a note — my account is showing as inactive :(,account_access
please help — this has gone from bad to worse — completely unacceptable!,complaint_angry
just a note — the documentation is not very helpful asap!,complaint_normal
please help — please reactivate my account please.,account_access
just a note — the video player won't load ugh.,technical_issue
update: i'm trying to recover my old account,account_access
"hello, i can't upload files — keeps failing !!",technical_issue
"fyi, the app is quite slow and laggy lately ugh.",complaint_normal
"hi, shoutout to your team — they really know their stuff help!",positive
urgent: can you add a feature to export to excel? asap!,feature_request
please help — i'm not accepting any more excuses — fix this TODAY thanks.,complaint_angry
the live chat widget doesn't open,technical_issue
issue: this app has made my life so much easier — thank you! !!,positive
"fyi, i never thought i'd love a productivity app this much thanks.",positive
"hi, i can't remember my logi nemail thanks.",account_access
"hi, i need to reset my password asap!",account_access
please help — this charge is incorrect — fix it please.,billing_issue
just a note — i need help acecssing my team account please.,account_access
question: can't open attachments in the pap :(,technical_issue
"hello, 10 out of 10 would recommend to everyone.",positive
the free plan is too limited for practical use.,complaint_normal
urgent: my promo code didn't apply to my bill thanks.,billing_issue
just a note — the pricing has gone up but quality hasn't improved please.,complaint_normal
"hello, can you integrate with slack?",feature_request
"hey, error every time i try to load the page :(",technical_issue
rugent: i've had a few small issues this week help!,complaint_normal
update: i am furious and i want this escalated immediately asap!,complaint_angry
"fyi, how do i delete my account? thanks.",account_access
urgent: please add a way to archive old messages!,feature_request
"hey, forgot my password and can't log in.",account_access
the refund process is taking too long thanks.,billing_issue
issue: can you integrate with slack? !!,feature_request
"fyi, the app uses a lot of data on mobile",complaint_normal
just a note — can you add a feature to export to excel? :(,feature_request
update: i'm genuinely delighted with the product :(,positive
"fyi, please remove the late payment charge thanks.",billing_issue
urgent: genuinely the best app in its category!,positive
just a note — i'm so impressed with how quickly you resolved my issue !!,positive
update: i need to recover my username !!,account_access
"hey, i want to know why i was charged a cancellation fee!",billing_issue
update: incredibly fast support — issue resolved in minutes!.,positive
just a note — your company is a disgrace — i'll be leaving a review please.,complaint_angry
just a note — the new update removed features i relied on!,complaint_normal
"fyi, please add a macro/automation feature asap!",feature_request
issue: there's an unauthorized charge on my credit card please.,billing_issue
urgent: the multi-language support is lcaking asap!,complaint_normal
urgent: my account was deactivated by mistake asap!,account_access
issue: the new checkout flow has an extra unnecessary step,complaint_normal
"hi, this is a complete scam — i want my money back!!!!",complaint_angry
"hello, please add support for multiple languages :(",feature_request
"fyi, how do i change my account email address?.",account_access
"hi, i dispute this charge completely please.",billing_issue
question: why is there an extra charge on my bill?.,billing_issue
please help — it would be great if you could add offline support,feature_request
update: my saved preferences have been reset thnaks.,account_access
question: i was sceptical at first but i'm absolutely converted !!,positive
issue: perfect experience from start to finish ugh.,positive
please help — please reactivate my account!,account_access
question: the app isn't as good as it used to be,complaint_normal
urgent: the webiste is down i think,technical_issue
"hi, i changed my email but can't access the old one to verify!",account_access
please help — please reactivate my account please.,account_access
"hello, data isn't syncing in real time anymore.",technical_issue
urgent: please unlock my account :(,account_access
urgent: please unlock my account please.,account_access
"fyi, it could be better — a few things feel off :(",complaint_normal
"fyi, please add quick reply options for common responses asap!",feature_request
"hey, i DEMAND a full refund for this disaster of a service ugh.",complaint_angry
urgent: the amount on my bill doesn't match what was quoted asap!,billing_issue
i want to speak to a manager RIGHT NOW :(,complaint_angry
you make everything so simple — thank you! thanks.,positive
"hi, your app is the best investment i've made all year !!",positive
"hello, there's too many steps to do simple things :(",complaint_normal
just a note — I WANT A REFUND AN DAN APOLOGY — THIS IS DISGUSTING.,complaint_angry
"hello, can't open attachments in the app thanks.",technical_issue
please help — can't open attachments in the app!,technical_issue
"hello, love your service — it's genuinely amazing! asap!",positive
issue: my invoice shows the wrong amount ugh.,billing_issue
please help — i'd love to have a progress tracker !!,feature_request
just a note — outstanding quality and incredible support team!.,positive
"hey, my payemnt failed but you still charged me!",billing_issue
"fyi, great app — the best tool i've used in years thanks.",positive
"hey, i was sceptical at first but i'm absolutely converted !!",positive
the new checkout flow has an extra unnecessary step !!,complaint_normal
"hi, i'm blown away by how good this product is help!",positive
just a note — i was promised a refund but nothing arrived ugh.,billing_issue
just a note — this is absolutely ridiculous! i've been waiting weeks! help!,complaint_angry
please help — it would be great if you could add offline support !!,feature_request
"hello, can you please add a dark mode? help!",feature_request
"hello, worst decision i ever made was signing up with you please.",complaint_angry
update: couldn't be more satisfied — carry on the great work! thanks.,positive
"hello, smooth, reliable, and a pleasure to use every day please.",positive
"hello, my profile data is missing after login help!",account_access
update: thank you  —this solved my problem instantly please.,positive
urgent: the live chat widget doesn't open,technical_issue
please help — just renewed my subscription — couldn't be happier!,positive
issue: i should have gotten a lower rate!,billing_issue
it would help to have a reading mode!,feature_request
question: could you add a shared calendar feature? asap!,feature_request
urgent: i need to dispute a charge from last motnh :(,billing_issue
please help — i dispute this charge completely!,billing_issue
"hello, this is the LAST time i contact your useless support asap!",complaint_angry
"hey, the app doesn't remember my preferences!",complaint_normal
urgent: i didn't authorise this payment :(,billing_issue
"fyi, my payment failed but you tsill charged me :(",billing_issue
issue: HOW IS THIS STILL NOT FIXED?! IT'S BEEN DAYS!!! !!,complaint_angry
"hello, smooth, reliable, and a pleasure to use every day asap!",positive
"hello, please remove the late payment charge please.",billing_issue
please help — how do i add another email to my account? please.,account_access
"hello, i'm still waiting on my refnud from 3 weeks ago !!",billing_issue
the video player won't load help!,technical_issue
urgent: my two-fatcor auth stopped working!,account_access
how do i add another email to my account? :(,account_access
please help — i'd like to see ai-based suggestions for replies ugh.,feature_request
issue: the camera feature crashes the app instantly :(,technical_issue
"fyi, notifications aren't working on my phone :(",technical_issue
"hey, send me a corrected invoice please",billing_issue
urgent: i'm not accepting any more excuses — fix this TODAY thanks.,complaint_angry
"hey, the discount wasn't applied to my invoice asap!",billing_issue
"hi, i need to close my account ugh.",account_access
"hi, absolutely horrible experience from start to finish!!! :(",complaint_angry
issue: 'im going to dispute this charge with my bank help!,complaint_angry
update: i'm not fully satisfied with the service,complaint_normal
just a note — there are unauthorized logins on my account !!,account_access
please help — my account email was changed by someone else ugh.,account_access
the camera feature crashes the app instantly help!,technical_issue
"hi, thank you so much for the help — you're wonderful!.",positive
"hi, the camera feature crashes the app instantly asap!",technical_issue
please help — i set up a new phone and can't log in help!,account_access
issue: the app is quite slow and laggy lately :(,complaint_normal
"just a note — top-notch everything — service, product, and support :(",positive
please help — how dare you treat paying customers this way!,complaint_angry
"fyi, I WANT A REFUND AND AN APOLOGY — THIS IS DISGUSTING.",complaint_angry
issue: i want to know why i was charged a cancellation fee!,billing_issue
can you add a feature to export to excel?!,feature_request
issue: audio isn't playing on the app,technical_issue
update: i'd love to have a progress tracker!,feature_request
question: push notifications stopped working after update please.,technical_issue
the api returns a 503 error.,technical_issue
"hello, the desktop app crashes on startup asap!",technical_issue
the colour scheme is a bit hard on the eyes asap!,complaint_normal
the interface is a bit confusing to navigate !!,complaint_normal
"hi, incredibly fast support — issue resolved in minutes! please.",positive
issue: the paswsord reset link expired before i used it thanks.,account_access
issue: please add undo functionality for deleted items help!,feature_request
issue: the onboarding experience was confusing :(,complaint_normal
issue: i'm writing a formal complaint letter.,complaint_angry
question: STOP IGNORING ME — I NEED THIS FIXED NOW!!! help!,complaint_angry
urgent: i'm going to dispute this charge with my bank help!,complaint_angry
please help — please add undo functionality for deleted items help!,feature_request
"fyi, i am disgusted by how you treat your customers!!! help!",complaint_angry
"fyi, please add rightt-o-left (rtl) language support help!",feature_request
rugent: i'm getting an invalid credentials error thanks.,account_access
"hey, app keeps crashing every time i open it thanks.",technical_issue
"hey, genuinely the best app in its category asap!",positive
the app is quite slow and laggy lately thanks.,complaint_normal
just a note — i'm furious — your service is terrible! thanks.,complaint_angry
issue: i am beyond frustrated with your incompetent team asap!,complaint_angry
update: the confirmation email never arrvied thanks.,technical_issue
"hello, the button does nothing when i click it !!",technical_issue
i DEMAND a full refund for this disaster of a service!,complaint_angry
please help — when will the refund hit my account? help!,billing_issue
please help — how dare you treat paying customers this way! thanks.,complaint_angry
i need to reset my password thanks.,account_access
update: STOP IGNORING ME — I NEED THIS FIXED NOW!!! help!,complaint_angry
"hi, can you add a feature to merge duplicate contacts? :(",feature_request
i'm beyond angry and you need to fix this immediately!!! please.,complaint_angry
plesae help — i am beyond frustrated with your incompetent team please.,complaint_angry
please help — i'm going to warn every single person i know about you asap!,complaint_angry
urgent: fantastic service — i've recommended you to all my friends,positive
"hello, the camera feature crashes the app instantly ugh.",technical_issue
"hello, some features feel half-finished.",complaint_normal
"fyi, i lost access to my authenticator app!",account_access
urgent: forgot my password and can't log in asap!,account_access
"hey, this is exactly what i needed — brilliant product !!",positive
update: there are unauthorized logins on my account,account_access
"hello, the interface is a bit confusing to navigate !!",complaint_normal
just a note — the dashboard shows wrong data please.,technical_issue
"hi, the app could use some polish in the settings page help!",complaint_normal
question: data isn't syncing in real time anymore.,technical_issue
question: please add a notifications digest (daily summary) thanks.,feature_request
urgent: every interaction with your team has been a disaster ugh.,complaint_angry
issue: i demand immediate action — this is unacceptable!!!,complaint_angry
"fyi, this charge is incorrect — fix it :(",billing_issue
"hey, the email notifications are too frequent please.",complaint_normal
"hey, i need to dispute a charge from last month asap!",billing_issue
just a note — can you confirm if my account still exists? help!,account_access
"hey, you've lost me as a customer with this appalling service!",complaint_angry
"hey, the app won't let me complete checkout help!",technical_issue
issue: i'd like to see better keyboard shortcuts,complaint_normal
just a note — i ca'nt change my profile picture — upload fails,technical_issue
"hi, i can't log in from a new device help!",account_access
urgent: thank you — this solved my problem instantly thanks.,positive
urgent: the update made everything worse please.,technical_issue
just a note — i can't log in from a new device asap!,account_access
"hi, very satisfied customer here — thank you! ugh.",positive
update: notifications aren't working on my phone help!,technical_issue
"hey, the app is quite slow and laggy lately asap!",complaint_normal
i tell everyone i know to use your service.,positive
update: the subscription price is a bit high help!,complaint_normal
"hey, can you add support for webp images? !!",feature_request
"hi, the colour scheme is a bit hard on the eyes help!",complaint_normal
just a note — i changed my password but ti's not working thanks.,account_access
"hey, my refund still hasn't arrived!",billing_issue
issue: the multi-language support is lacking please.,complaint_normal
"hello, your company is a disgrace — i'll be leaving a review!",complaint_angry
can you add a batch delete option? thanks.,feature_request
please help — your company charged me without permission thanks.,billing_issue
worst customer service i have ever experienced in my life,complaint_angry
please help — can you please add a dark mode? help!,feature_request
update: the new update is brilliant — well done team!.,positive
"hey, I WANT A REFUND AND AN APOLOGY — THIS IS DISGUSTING :(",complaint_angry
"hi, i've had a few small issues this week asap!",complaint_normal
just a note — i'm going to warn every single person i know about you !!,complaint_angry
just a note — error every time i try to load the page ugh.,technical_issue
please help — how do i log in without my old phone? help!,account_access
i'm experiencing constant lag on the platform asap!,technical_issue
urgent: this is outrageous behavior from a supposed professional company!,complaint_angry
forgot my password and can't log in :(,account_access
please help  —never in my life have i experienced such incompetence asap!,complaint_angry
urgent: i was charged twice for the same order thanks.,billing_issue
"hi, you have wasted enough of my time — fix it NOW!!!",complaint_angry
"hello, i'd love a feature to schedule messages asap!",feature_request
"fyi, some menu items are hard to find thanks.",complaint_normal
please help — this is the most frustrating experience of my life please.,complaint_angry
i dispute this charge completely help!,billing_issue
"fyi, i need to reset my password thanks.",account_access
"hey, refund hasn't shown up in my bank yet help!",billing_issue
please help — the user experience feels clunky !!,complaint_normal
urgent: i rarely write reviews but you deserve it — 5 stars!.,positive
please help — i set up a new phone and can't log in help!,account_access
just a note — i can't verify my identity to log in,account_access
"hello, your serivce is an insult to paying customers!!!.",complaint_angry
"hi, the search feature is completely broken !!",technical_issue
i'm getting an error message on login !!,technical_issue
just a note — never in my life have i experienced such incompetence :(,complaint_angry
update: i want my money back now ugh.,billing_issue
"hi, i can't remember my login email please.",account_access
urgent: i need to dispute a charge from last month :(,billing_issue
"hi, could you add a colour coding system for categories?!",feature_request
"hi, please add an option to hide the sidebar!",feature_request
please help — i've had a few small issues this week,complaint_normal
question: can you confirm if my account still exists? !!,account_access
urgent: i'm being asked for a backup code i don't have !!,account_access
issue: i can't change my profile picture — upload fails.,technical_issue
question: just wanted to say — excellent work! keep it up!.,positive
lpease help — my account is showing as inactive !!,account_access
just a note — the export feature isn't generating the file please.,technical_issue
question: ujst renewed my subscription — couldn't be happier thanks.,positive
issue: the interface is a bit confuisng to navigate !!,complaint_normal
outstanding quality and incredible support team! !!,positive
"hello, the interface is a bit confusing to navigate.",complaint_normal
"hello, i love how responsive the team is to user suggestions asap!",positive
issue: i paid already but it shows as unpadi asap!,billing_issue
issue: the multi-language support is lacking thanks.,complaint_normal
"hi, been a customer for 3 years — still love every bit of it help!",positive
update: the password reset link expired before i used it :(,account_access
some of the labels in the app are unclear !!,complaint_normal
"hello, thank you — this solved my problem instantly help!",positive
i'm getting an invalid credentials error.,account_access
"hi, the billing department messed up my account!",billing_issue
update: i never received a receipt for this charge asap!,billing_issue
"hey, worst customer service i have ever experienced in my life !!",complaint_angry
please help — the export feature isn't generating the file asap!,technical_issue
"hi, the help section needs improvement!",complaint_normal
please help — why is my bill higher than expected? ugh.,billing_issue
"hello, i can't change my profile picture — upload fails please.",technical_issue
"fyi, just renewed my subscription — couldn't be happier ugh.",positive
"hello, can you integrate with slack? thanks.",feature_request
issue: can you add auto-save more frequently? :(,feature_request
just a note — i want to speak to a manager RIGHT NOW help!,complaint_angry
update: STOP IGNROING ME — I NEED THIS FIXED NOW!!!.,complaint_angry
issue: i was sceptical at first but i'm absolutely converted help!,positive
question: the live chat widget doesn't open !!,technical_issue
"hey, i was charged twice for the asme order thanks.",billing_issue
question: i need to merge two accounts !!,account_access
please help — it would be really helpful to have keyboard shortcuts,feature_request
"hello, the discount wasn't applied to my invoice asap!",billing_issue
"hey, i keep getting a 500 server error !!",technical_issue
please help — the new update removed features i relied on.,complaint_normal
please help — your team really went the extra mile for me please.,positive
question: i'd like to see an itemizde bill asap!,billing_issue
"hello, lpease add a custom notification sound option !!",feature_request
please add a notifications digest (daily summary) :(,feature_request
update: the product keeps getting better every update.,positive
please help — the app isn't as good as it used to be thanks.,complaint_normal
"hey, the mobile app is extremely slow",technical_issue
update: how do i delete my account?!,account_access
issue: the app won't let me complete checkout.,technical_issue
"fyi, please help me regain access to my account help!",account_access
"hey, i'm getting a 404 error on a page that used to work thanks.",technical_issue
"hi, incredibly happy with the service — truly top tier !!",positive
